年 / 周,仪表数量,运维次数,单位仪器运维次数
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
第2周,2156,35,0.016233766
第3周,1737,12,0.006908463
第4周,1956,24,0.012269939
第5周,2021,22,0.0108857
第6周,2007,31,0.015445939
第7周,1550,28,0.018064516
第8周,981,8,0.008154944
第9周,1752,23,0.013127854
第10周,1278,26,0.020344288
第11周,1989,18,0.009049774
第12周,1626,14,0.008610086
第13周,2098,19,0.009056244
第14周,1892,27,0.014270613
第2周,2136,56,0.026217228
第3周,2136,33,0.015449438
第4周,2099,28,0.013339686
第5周,2086,32,0.015340364
第6周,1752,15,0.008561644
第7周,2116,39,0.018431002
第8周,2137,22,0.010294806
第9周,2253,41,0.018197958
第10周,1826,21,0.011500548
第11周,2082,27,0.0129683
第12周,2072,17,0.008204633
第13周,2094,56,0.026743075
第14周,2224,28,0.012589928
第1周,2106,22,0.010446344
第2周,2204,29,0.013157895
第3周,1756,24,0.013667426
第4周,2076,34,0.016377649
第5周,1533,25,0.016307893
第6周,1445,38,0.026297578
第7周,1560,12,0.007692308
第8周,2124,33,0.015536723
第9周,2194,39,0.017775752
第10周,2142,23,0.010737628
第13周,2040,36,0.017647059
第14周,1162,5,0.004302926
第2周,1934,25,0.012926577
第3周,2111,25,0.011842729
第4周,2031,15,0.007385524
第5周,1980,17,0.008585859
第6周,1376,10,0.007267442
第7周,1340,14,0.010447761
第8周,1305,14,0.010727969
第9周,1922,14,0.007284079
第10周,1810,26,0.014364641
第11周,1322,19,0.014372163
第12周,1915,25,0.01305483
第13周,1726,7,0.00405562
第14周,2105,47,0.022327791
